Month;Division;Target Overage vs Budget %
Month 1;AI Engineering;6,00%
Month 1;Business Analytics;3,00%
Month 1;Data Engineering;4,50%
Month 1;Platform / Cloud Operations;5,00%
Month 1;Product Engineering;4,00%
Month 2;AI Engineering;7,00%
Month 2;Business Analytics;4,00%
Month 2;Data Engineering;5,50%
Month 2;Platform / Cloud Operations;6,00%
Month 2;Product Engineering;5,00%
Month 3;AI Engineering;6,50%
Month 3;Business Analytics;3,50%
Month 3;Data Engineering;5,00%
Month 3;Platform / Cloud Operations;5,50%
Month 3;Product Engineering;4,50%
